,0
0,6
1,3
2,2
3,6
4,6
5,8
6,2
7,3
8,8
9,3
10,16
11,3
12,6
13,5
14,5
15,4
16,15
17,2
18,6
19,14
20,7
21,3
22,5
23,5
24,8
25,5
26,2
27,2
28,3
29,1
30,5
31,7
32,8
33,7
34,7
35,3
36,11
37,2
38,5
39,3
40,14
41,14
42,6
43,7
44,1
45,2
46,2
47,7
48,11
49,0
50,3
51,8
52,5
53,6
54,7
55,5
56,4
57,3
58,6
59,14
60,3
61,3
62,3
63,3
64,5
65,5
66,12
67,5
68,3
69,13
70,5
71,11
72,0
73,13
74,7
75,4
76,7
77,8
78,5
79,5
80,3
81,16
82,3
83,3
84,16
85,5
86,2
87,3
88,11
89,3
90,2
91,3
92,3
93,2
94,6
95,5
96,5
97,0
98,5
99,0
100,1
101,8
102,14
103,5
104,5
105,8
106,8
107,3
108,10
109,6
110,4
111,6
112,8
113,3
114,4
115,6
116,3
117,14
118,16
119,2
120,3
121,3
122,5
123,6
124,5
125,4
126,7
127,2
128,5
129,2
130,2
131,7
132,9
133,5
134,8
135,3
136,3
137,14
138,11
139,5
140,7
141,2
142,2
143,3
144,6
145,5
146,6
147,3
148,3
149,7
150,2
151,5
152,7
153,5
154,0
155,0
156,3
157,6
158,0
159,2
160,3
161,6
162,4
163,5
164,2
165,5
166,5
167,15
168,14
169,2
170,3
171,6
172,0
173,5
174,2
175,7
176,2
177,7
178,14
179,3
180,3
181,2
182,3
183,12
184,7
185,5
186,14
187,1
188,2
189,6
190,5
191,3
192,7
193,10
194,6
195,3
196,14
197,7
198,3
199,3
200,6
201,0
202,3
203,2
204,2
205,7
206,3
207,1
208,7
209,8
210,14
211,5
212,1
213,3
214,1
215,6
216,3
217,0
218,6
219,1
220,3
221,3
222,2
223,14
224,5
225,9
226,15
227,3
228,1
229,8
230,3
231,3
232,3
233,3
234,4
235,6
236,13
237,6
238,8
239,6
240,2
241,3
242,3
243,2
244,5
245,5
246,0
247,6
248,11
249,2
250,2
251,8
252,5
253,3
254,2
255,5
256,3
